username,following,followers,totaltweets,tweetcreated,retweetcount,text,hashtags
BrattyTart,480,313,13198,2021-01-16 14:39:45,0,@NYCMayor he DiAssio great job stomping your feet to open up vaccines to 1B.  Now there arent enough vaccines for seniors. Can’t wait for your term to be over.,[]
adodger78,640,113,21084,2021-01-16 14:39:43,33731,"Last night, I received disturbing news, confirmed to me directly by General Perna of Operation Warp Speed: States will not be receiving increased shipments of vaccines from the national stockpile next week, because there is no federal reserve of doses.",[]
KDCaston,121,94,22187,2021-01-16 14:39:43,42,So how do we find out who Trump &amp; Goons sold the national stockpile of vaccines to?,[]
frizzy_ghost,1545,1230,3869,2021-01-16 14:39:43,0,"@GhostOfJed Agreed. Sorry should’ve included vaccines in my comment, that’s what I was talking about.
These people must be held accountable.",[]
boimate2020,776,787,31352,2021-01-16 14:39:43,16,"A million doses of COVID-19 vaccines developed by China's Sinopharm arrived in Serbia on Saturday, receiving a personal welcome at the airport from the country's president. #GLOBALink https://t.co/6elDI2zBNC",[]
RenateARose,791,1198,15111,2021-01-16 14:39:43,33731,"Last night, I received disturbing news, confirmed to me directly by General Perna of Operation Warp Speed: States will not be receiving increased shipments of vaccines from the national stockpile next week, because there is no federal reserve of doses.",[]
mojalifa_,978,996,14332,2021-01-16 14:39:42,0,@thereal_sorted @Sentletse What they won't report is that all vaccines are less effective. There is no vaccine that will stop covid-19 and it's variations. It will just vanished it'self nje.,[]
shaquilleordea1,320,92,12757,2021-01-16 14:39:42,13,NDAs abound for Ford’s #HealthTable and #VaccineDistributionTable. Why is @fordnation putting gag orders on these committees crated to extrapolate data and provide information to Ontarians about the state of Covid and vaccines in Ontario? Why the muzzle? #onpoli https://t.co/gJ3hchmeF5,"[{'text': 'HealthTable', 'indices': [37, 49]}, {'text': 'VaccineDistributionTable', 'indices': [54, 79]}]"
webassignsucks,213,52,1045,2021-01-16 14:39:42,0,"""smokers don't deserve vaccine priority for their bad choices"" is a terrible take and also completely ignores that our government botched the vaccine rollout so bad there's not even the amount of vaccines promised anyway",[]
marn_1966,368,244,51081,2021-01-16 14:39:42,20,"Shoppers Drug Mart already offered to administer the vaccines a few weeks ago. So now, go back and ask the “Premiers” why it hasn’t happened. Because as usual, each Shoppers Drug Mart store is under “provincial” jurisdiction. https://t.co/xdPPYOXUL4",[]
G_Love_Mom,3173,2084,77241,2021-01-16 14:39:41,2167,"So I’m confused.  Did the Trumps literally sell vaccines out the back door.  You can’t really mislay 20 million vaccines, can you?",[]
jimmyofflagstaf,2932,2658,124117,2021-01-16 14:39:41,2167,"So I’m confused.  Did the Trumps literally sell vaccines out the back door.  You can’t really mislay 20 million vaccines, can you?",[]
theslimdude,1393,1523,212893,2021-01-16 14:39:40,2167,"So I’m confused.  Did the Trumps literally sell vaccines out the back door.  You can’t really mislay 20 million vaccines, can you?",[]
AlcinaFaraday,5001,3477,23879,2021-01-16 14:39:40,4238,"Remember when the govt counted 2 gloves in a pair as “two” separate items of PPE?

Well, to be vaccinated against Covid, you need a course of 2 vaccines.

Yet the govt’s official vaccination figs count a single dose as “vaccinated”.

Any chance the press could clarify urgently?",[]
InfinitusSteve,1080,801,14182,2021-01-16 14:39:40,4238,"Remember when the govt counted 2 gloves in a pair as “two” separate items of PPE?

Well, to be vaccinated against Covid, you need a course of 2 vaccines.

Yet the govt’s official vaccination figs count a single dose as “vaccinated”.

Any chance the press could clarify urgently?",[]
Iamaminat,557,118,71,2021-01-16 14:39:39,24,"#SaturdayHeadlines
16th of Jan. 2021

1. Fake vaccines in circulation, NAFDAC warns - https://t.co/G1wyXBGmvc 

2. Nigeria’s inflation rate hits 15.75%, highest since 2017 - https://t.co/mwrYl9aDlf 

3. @PoliceNG lose two AIGs in three days - https://t.co/96yGxDRys4 @Kingbiodun_ https://t.co/k6LtIaSLV8","[{'text': 'SaturdayHeadlines', 'indices': [19, 37]}]"
adamCS,877,185,24343,2021-01-16 14:39:39,19,Tomorrow the city is opening a vaccine site in a Manhattan NYCHA development &amp; they have ordered the NYPD to do the outreach. Not the best way to build trust &amp; have an equitable distribution of vaccines in a place where residents tell our office they are already vaccine-skeptical,[]
PratapD67981975,448,261,15636,2021-01-16 14:39:39,99,"Indian vaccines are much cheaper than foreign vaccines and are equally easy to use.

There are some vaccines abroad with a dose of up to Rs. 5,000 thousand and which has to be kept in freezer in -70 degree C temperatures.

- PM Shri @narendramodi Ji

#LargestVaccineDrive",[]
Bisu_twittes,212,75,15649,2021-01-16 14:39:39,1055,"People getting Bharat Biotech’s Covaxin from today will have to sign an additional consent form. 

But here’s the catch - you do NOT get to choose between the 2 vaccines &amp; have to take whatever is available at the vaccination site. 

What even is the meaning of such “consent”?",[]
rtrgoblue,598,223,44827,2021-01-16 14:39:38,2802,"So, did Jared Kushner loot the vaccines that were supposedly being held in reserve?",[]
b2_bennett,396,88,3060,2021-01-16 14:39:38,0,"This is now the hell we’ve got to climb out of. We can do it; we *must* do it‼️🇺🇸💪🗽💉⚖️🙏

https://t.co/w9OF9oltmX",[]
DobbieAline,749,804,60790,2021-01-16 14:39:37,4,This is great but the @NHSLouisaJordan only serves a certain geographical area of Scotland. I hope vaccines are fairly distributed throughout all areas. https://t.co/QM6FLl8dNV,[]
LarryKness,4509,2325,138933,2021-01-16 14:39:37,2167,"So I’m confused.  Did the Trumps literally sell vaccines out the back door.  You can’t really mislay 20 million vaccines, can you?",[]
notforresale11,875,687,41869,2021-01-16 14:39:37,2802,"So, did Jared Kushner loot the vaccines that were supposedly being held in reserve?",[]
AnsisEgle,675,4215,443203,2021-01-16 14:39:37,1070,"If you, out of curiosity, get an antibody test after the second dose of vaccine, and it is negative, don't freak out. The test was probably done against nucleoprotein, not spike protein. And there is no nucleoprotein in the US/EU vaccines. You will only make antispike antibodies.",[]
EnnisCole,104,685,49244,2021-01-16 14:39:36,8370,"Governors were told repeatedly by @HHSgov there was a strategic reserve of vaccines, and this week, the American people were told it’d be released to increase supply of vaccine.
 
It appears now that no reserve exists. The Trump admin. must answer immediately for this deception. https://t.co/JJky0NcbPi",[]
khaishk,1486,1103,140050,2021-01-16 14:39:36,41,"NDTV being @ndtv gets some RTI activist claiming to be a doctor founder of some Medical association to spread scare about Vaccines ...

Shame !",[]
DBTIndia,271,66964,13665,2021-01-16 14:39:36,0,".Mission COVID Suraksha for R &amp; D of Indian COVID-19 vaccines was announced by the Hon’ble Finance Minister on 12th November 2020. The Mission will be implemented at a total cost of Rs. 900 Cr. for 12 months by BIRAC, a PSU of DBT. @drharshvardhan @RenuSwarup @BIRAC_2012 https://t.co/bWhSwWLtyG",[]
EddieOsgood1,141,121,5340,2021-01-16 14:39:35,101,"The gov't could make an announcement and say, ""we've been trying to kill every one of you for years with vaccines, fluoride, toxic preservatives in food, harmful pesticides, chemtrails, contaminated water, etc."" Most people would say, ""they're just kidding, they love us.""",[]
QuigleyBecki,502,1871,1103,2021-01-16 14:39:34,0,"Two geography teachers, two covid vaccines (hence tricep flex), and one very cool Museum in the background! https://t.co/p6De5eLkSU",[]
hamdansayedinc,4530,5320,109745,2021-01-16 14:39:34,11,"@SaketGokhale While govt claims India-made vaccines are safe, yet the vaccine consent form says people getting #Covaxin are actually enrolling for the 3rd phase trials.

Insane! https://t.co/j4yb2bKDvj","[{'text': 'Covaxin', 'indices': [130, 138]}]"
pascalesalameh2,445,189,227,2021-01-16 14:39:33,1,"As countries begin to roll out vaccination for #COVID19 the Lebanese gvmt has yet to provide details abt its vaccination strategy, raising concerns abt its ability to provide vaccines due to the country’s economic &amp; governance crisis. W/ @pascalesalameh2
https://t.co/El84RJ8Mlm","[{'text': 'COVID19', 'indices': [64, 72]}]"
